Main Category,Sub-Category,Hierarchy Path,Component Role,Constraint Text,Subcategory Min Qty,Subcategory Max Qty,Table Rule/Note,Product #,Option Type,Description,Current Qty,Unit Price (USD),Price Delta (USD),Extended Price (USD),Price per GB (USD),HPE Recommended,Start Date,Discontinued Date,Diff Status,Previous List Price (USD),Price Change (USD),Price Change (%),Price History Trail
Chassis,Variants,HPE OCA > DL380 Gen12 > Chassis > Variants,Base Chassis,max 1,0,1,Mandatory base chassis selection required for solution build,P73282-B21,CTO,HPE ProLiant Compute DL380 Gen12 8SFF NC CTO Server,1,"$5,584.00",,,,Yes,2026-08-24,,ATTRIBUTE_CHANGED,"$5,584.00",$0.00,$0.00,2026-08-22: $5584.00 → 2026-08-24: $5584.00 (✕ REMOVED)
Chassis,Variants,HPE OCA > DL380 Gen12 > Chassis > Variants,Base Chassis,max 1,0,1,Mandatory base chassis selection required for solution build,P73283-B21,CTO,HPE ProLiant Compute DL380 Gen12 24SFF NC CTO Server,1,"$5,980.00",,,,Yes,2026-08-24,,ATTRIBUTE_CHANGED,"$5,980.00",$0.00,$0.00,2026-08-22: $5980.00 → 2026-08-24: $5980.00 (✕ REMOVED)
Chassis,Variants,HPE OCA > DL380 Gen12 > Chassis > Variants,Base Chassis,max 1,0,1,Mandatory base chassis selection required for solution build,P73284-B21,CTO,HPE ProLiant Compute DL380 Gen12 12LFF NC CTO Server,1,"$6,350.00",,,,Yes,2026-08-24,,ATTRIBUTE_CHANGED,"$6,350.00",$0.00,$0.00,2026-08-22: $6350.00 → 2026-08-24: $6350.00 (✕ REMOVED)
Chassis,Variants,HPE OCA > DL380 Gen12 > Chassis > Variants,Base Chassis,max 1,0,1,Mandatory base chassis selection required for solution build,P73285-B21,CTO,HPE ProLiant Compute DL380 Gen12 8LFF NC CTO Server,1,"$6,890.00",,,,Yes,2026-08-24,,ATTRIBUTE_CHANGED,"$6,890.00",$0.00,$0.00,2026-08-22: $6890.00 → 2026-08-24: $6890.00 (✕ REMOVED)
Chassis,Variants,HPE OCA > DL380 Gen12 > Chassis > Variants,Base Chassis,max 1,0,1,Mandatory base chassis selection required for solution build,P73286-B21,CTO,HPE ProLiant Compute DL380 Gen12 16EDSFF NC CTO Server,1,"$7,120.00",,,,Yes,2026-08-24,,ATTRIBUTE_CHANGED,"$7,120.00",$0.00,$0.00,2026-08-22: $7120.00 → 2026-08-24: $7120.00 (✕ REMOVED)
Chassis,Variants,HPE OCA > DL380 Gen12 > Chassis > Variants,Base Chassis,max 1,0,1,Mandatory base chassis selection required for solution build,P73287-B21,CTO,HPE ProLiant Compute DL380 Gen12 High Power / Telco CTO Server,1,"$7,450.00",,,,Yes,2026-08-24,,ATTRIBUTE_CHANGED,"$7,450.00",$0.00,$0.00,2026-08-22: $7450.00 → 2026-08-24: $7450.00 (✕ REMOVED)
Accessories & Infrastructure,Energy Star Configuration Presets,HPE OCA > DL380 Gen12 > Accessories & Infrastructure > Energy Star Configuration Presets,Chassis Infrastructure,Optional,0,Optional,Selection constraint for Energy Star Configuration Presets: optional,P68503-B21,Standard,ENERGY STAR 4.0 FIO Trigger Configuration Kit for HPE,0,$1.00,,NA,,No,12/04/2023,05/31/2028,UNCHANGED,$1.00,$0.00,$0.00,2026-08-22: $1.00 → 2026-08-24: $12042023.00 (▲)
Processor,Intel Xeon 6th Gen Scalable Processors,HPE OCA > DL380 Gen12 > Processor > Intel Xeon 6th Gen Scalable Processors,Processor,"min 1, max 2",1,2,"Selection constraint for Intel Xeon 6th Gen Scalable Processors: min 1, max 2",P71117-B21,Standard,Intel Xeon 6710E 2.4GHz 64-core 205W Processor for HPE,0,"$6,096.00","$1,854.00","$12,192.00",,No,11/04/2024,06/30/2029,UNCHANGED,"$6,096.00",$0.00,$0.00,2026-08-22: $6096.00 → 2026-08-24: $1854.00 (▼)
Processor,Intel Xeon 6th Gen Scalable Processors,HPE OCA > DL380 Gen12 > Processor > Intel Xeon 6th Gen Scalable Processors,Processor,"min 1, max 2",1,2,"Selection constraint for Intel Xeon 6th Gen Scalable Processors: min 1, max 2",P73834-B21,Standard,Intel Xeon 6767P 2.4GHz 64-core 350W Processor for HPE,0,"$22,485.00","$18,243.00","$44,970.00",,No,02/24/2025,06/30/2029,UNCHANGED,"$22,485.00",$0.00,$0.00,2026-08-22: $22485.00 → 2026-08-24: $18243.00 (▼)
Processor,Intel Xeon 6th Gen Scalable Processors,HPE OCA > DL380 Gen12 > Processor > Intel Xeon 6th Gen Scalable Processors,Processor,"min 1, max 2",1,2,"Selection constraint for Intel Xeon 6th Gen Scalable Processors: min 1, max 2",P74506-B21,Standard,Intel Xeon 6515P 2.3GHz 16-core 150W Processor for HPE,0,"$2,457.00","-$1,785.00","$4,914.00",,No,02/24/2025,06/30/2029,UNCHANGED,"$2,457.00",$0.00,$0.00,2026-08-22: $2457.00 → 2026-08-24: (no price)
Processor,Intel Xeon 6th Gen Scalable Processors,HPE OCA > DL380 Gen12 > Processor > Intel Xeon 6th Gen Scalable Processors,Processor,"min 1, max 2",1,2,"Selection constraint for Intel Xeon 6th Gen Scalable Processors: min 1, max 2",P74508-B21,Standard,Intel Xeon 6714P 4.0GHz 8-core 165W Processor for HPE,0,"$8,941.00","$4,699.00","$17,882.00",,No,06/02/2025,06/30/2029,UNCHANGED,"$8,941.00",$0.00,$0.00,2026-08-22: $8941.00 → 2026-08-24: $4699.00 (▼)
Processor,Intel Xeon 6th Gen Scalable Processors,HPE OCA > DL380 Gen12 > Processor > Intel Xeon 6th Gen Scalable Processors,Processor,"min 1, max 2",1,2,"Selection constraint for Intel Xeon 6th Gen Scalable Processors: min 1, max 2",P74509-B21,Standard,Intel Xeon 6724P 3.6GHz 16-core 210W Processor for HPE,0,"$11,074.00","$6,832.00","$22,148.00",,No,06/02/2025,06/30/2029,UNCHANGED,"$11,074.00",$0.00,$0.00,2026-08-22: $11074.00 → 2026-08-24: $6832.00 (▼)
Processor,Intel Xeon 6th Gen Scalable Processors,HPE OCA > DL380 Gen12 > Processor > Intel Xeon 6th Gen Scalable Processors,Processor,"min 1, max 2",1,2,"Selection constraint for Intel Xeon 6th Gen Scalable Processors: min 1, max 2",P74570-B21,Standard,Intel Xeon 6527P 3.0GHz 24-core 255W Processor for HPE,0,"$8,123.00","$3,881.00","$16,246.00",,No,02/24/2025,06/30/2029,UNCHANGED,"$8,123.00",$0.00,$0.00,2026-08-22: $8123.00 → 2026-08-24: $3881.00 (▼)
Processor,Intel Xeon 6th Gen Scalable Processors,HPE OCA > DL380 Gen12 > Processor > Intel Xeon 6th Gen Scalable Processors,Processor,"min 1, max 2",1,2,"Selection constraint for Intel Xeon 6th Gen Scalable Processors: min 1, max 2",P74571-B21,Standard,Intel Xeon 6530P 2.3GHz 32-core 225W Processor for HPE,0,"$6,830.00","$2,588.00","$13,660.00",,No,02/24/2025,06/30/2029,UNCHANGED,"$6,830.00",$0.00,$0.00,2026-08-22: $6830.00 → 2026-08-24: $2588.00 (▼)
Processor,Intel Xeon 6th Gen Scalable Processors,HPE OCA > DL380 Gen12 > Processor > Intel Xeon 6th Gen Scalable Processors,Processor,"min 1, max 2",1,2,"Selection constraint for Intel Xeon 6th Gen Scalable Processors: min 1, max 2",P71118-B21,Standard,Intel Xeon 6731E 2.2GHz 96-core 250W Processor for HPE,0,"$7,062.00","$2,820.00","$14,124.00",,No,02/24/2025,06/30/2029,UNCHANGED,"$7,062.00",$0.00,$0.00,2026-08-22: $7062.00 → 2026-08-24: $2820.00 (▼)
Processor,Intel Xeon 6th Gen Scalable Processors,HPE OCA > DL380 Gen12 > Processor > Intel Xeon 6th Gen Scalable Processors,Processor,"min 1, max 2",1,2,"Selection constraint for Intel Xeon 6th Gen Scalable Processors: min 1, max 2",P71120-B21,Standard,Intel Xeon 6746E 2.0GHz 112-core 250W Processor for HPE,0,"$8,965.00","$4,723.00","$17,930.00",,No,11/04/2024,06/30/2029,UNCHANGED,"$8,965.00",$0.00,$0.00,2026-08-22: $8965.00 → 2026-08-24: $4723.00 (▼)
Processor,Intel Xeon 6th Gen Scalable Processors,HPE OCA > DL380 Gen12 > Processor > Intel Xeon 6th Gen Scalable Processors,Processor,"min 1, max 2",1,2,"Selection constraint for Intel Xeon 6th Gen Scalable Processors: min 1, max 2",P71119-B21,Standard,Intel Xeon 6740E 2.4GHz 96-core 250W Processor for HPE,0,"$8,459.00","$4,217.00","$16,918.00",,No,11/04/2024,06/30/2029,UNCHANGED,"$8,459.00",$0.00,$0.00,2026-08-22: $8459.00 → 2026-08-24: $4217.00 (▼)
Processor,Intel Xeon 6th Gen Scalable Processors,HPE OCA > DL380 Gen12 > Processor > Intel Xeon 6th Gen Scalable Processors,Processor,"min 1, max 2",1,2,"Selection constraint for Intel Xeon 6th Gen Scalable Processors: min 1, max 2",P71121-B21,Standard,Intel Xeon 6756E 1.8GHz 128-core 225W Processor for HPE,0,"$11,891.00","$7,649.00","$23,782.00",,No,11/04/2024,06/30/2029,UNCHANGED,"$11,891.00",$0.00,$0.00,2026-08-22: $11891.00 → 2026-08-24: $7649.00 (▼)
Processor,Intel Xeon 6th Gen Scalable Processors,HPE OCA > DL380 Gen12 > Processor > Intel Xeon 6th Gen Scalable Processors,Processor,"min 1, max 2",1,2,"Selection constraint for Intel Xeon 6th Gen Scalable Processors: min 1, max 2",P71122-B21,Standard,Intel Xeon 6766E 1.9GHz 144-core 250W Processor for HPE,0,"$14,473.00","$10,231.00","$28,946.00",,No,11/04/2024,06/30/2029,UNCHANGED,"$14,473.00",$0.00,$0.00,2026-08-22: $14473.00 → 2026-08-24: $10231.00 (▼)
Processor,Intel Xeon 6th Gen Scalable Processors,HPE OCA > DL380 Gen12 > Processor > Intel Xeon 6th Gen Scalable Processors,Processor,"min 1, max 2",1,2,"Selection constraint for Intel Xeon 6th Gen Scalable Processors: min 1, max 2",P71124-B21,Standard,Intel Xeon 6780E 2.2GHz 144-core 330W Processor for HPE,0,"$16,019.00","$11,777.00","$32,038.00",,No,02/24/2025,06/30/2029,UNCHANGED,"$16,019.00",$0.00,$0.00,2026-08-22: $16019.00 → 2026-08-24: $11777.00 (▼)
Processor,Intel Xeon 6th Gen Scalable Processors,HPE OCA > DL380 Gen12 > Processor > Intel Xeon 6th Gen Scalable Processors,Processor,"min 1, max 2",1,2,"Selection constraint for Intel Xeon 6th Gen Scalable Processors: min 1, max 2",P73829-B21,Standard,Intel Xeon 6740P 2.1GHz 48-core 270W Processor for HPE,0,"$13,124.00","$8,882.00","$26,248.00",,No,02/24/2025,06/30/2029,UNCHANGED,"$13,124.00",$0.00,$0.00,2026-08-22: $13124.00 → 2026-08-24: $8882.00 (▼)
Processor,Intel Xeon 6th Gen Scalable Processors,HPE OCA > DL380 Gen12 > Processor > Intel Xeon 6th Gen Scalable Processors,Processor,"min 1, max 2",1,2,"Selection constraint for Intel Xeon 6th Gen Scalable Processors: min 1, max 2",P73831-B21,Standard,Intel Xeon 6747P 2.7GHz 48-core 330W Processor for HPE,0,"$16,595.00","$12,353.00","$33,190.00",,No,02/24/2025,06/30/2029,UNCHANGED,"$16,595.00",$0.00,$0.00,2026-08-22: $16595.00 → 2026-08-24: $12353.00 (▼)
Processor,Intel Xeon 6th Gen Scalable Processors,HPE OCA > DL380 Gen12 > Processor > Intel Xeon 6th Gen Scalable Processors,Processor,"min 1, max 2",1,2,"Selection constraint for Intel Xeon 6th Gen Scalable Processors: min 1, max 2",P73832-B21,Standard,Intel Xeon 6760P 2.2GHz 64-core 330W Processor for HPE,0,"$16,517.00","$12,275.00","$33,034.00",,No,02/24/2025,06/30/2029,UNCHANGED,"$16,517.00",$0.00,$0.00,2026-08-22: $16517.00 → 2026-08-24: $12275.00 (▼)
Processor,Intel Xeon 6th Gen Scalable Processors,HPE OCA > DL380 Gen12 > Processor > Intel Xeon 6th Gen Scalable Processors,Processor,"min 1, max 2",1,2,"Selection constraint for Intel Xeon 6th Gen Scalable Processors: min 1, max 2",P73835-B21,Standard,Intel Xeon 6768P 2.4GHz 64-core 330W Processor for HPE,0,"$48,922.00","$44,680.00","$97,844.00",,No,06/02/2025,06/30/2029,UNCHANGED,"$48,922.00",$0.00,$0.00,2026-08-22: $48922.00 → 2026-08-24: $44680.00 (▼)
Processor,Intel Xeon 6th Gen Scalable Processors,HPE OCA > DL380 Gen12 > Processor > Intel Xeon 6th Gen Scalable Processors,Processor,"min 1, max 2",1,2,"Selection constraint for Intel Xeon 6th Gen Scalable Processors: min 1, max 2",P73837-B21,Standard,Intel Xeon 6787P 2.0GHz 86-core 350W Processor for HPE,0,"$23,285.00","$19,043.00","$46,570.00",,No,02/24/2025,06/30/2029,UNCHANGED,"$23,285.00",$0.00,$0.00,2026-08-22: $23285.00 → 2026-08-24: $19043.00 (▼)
Processor,Intel Xeon 6th Gen Scalable Processors,HPE OCA > DL380 Gen12 > Processor > Intel Xeon 6th Gen Scalable Processors,Processor,"min 1, max 2",1,2,"Selection constraint for Intel Xeon 6th Gen Scalable Processors: min 1, max 2",P73838-B21,Standard,Intel Xeon 6788P 2.0GHz 86-core 350W Processor for HPE,0,"$58,094.00","$53,852.00","$116,188.00",,No,06/02/2025,06/30/2029,UNCHANGED,"$58,094.00",$0.00,$0.00,2026-08-22: $58094.00 → 2026-08-24: $53852.00 (▼)
Processor,Intel Xeon 6th Gen Scalable Processors,HPE OCA > DL380 Gen12 > Processor > Intel Xeon 6th Gen Scalable Processors,Processor,"min 1, max 2",1,2,"Selection constraint for Intel Xeon 6th Gen Scalable Processors: min 1, max 2",P74503-B21,Standard,Intel Xeon 6505P 2.2GHz 12-core 150W Processor for HPE,0,"$1,756.00","-$2,486.00","$3,512.00",,No,02/24/2025,06/30/2029,UNCHANGED,"$1,756.00",$0.00,$0.00,2026-08-22: $1756.00 → 2026-08-24: (no price)
Processor,Intel Xeon 6th Gen Scalable Processors,HPE OCA > DL380 Gen12 > Processor > Intel Xeon 6th Gen Scalable Processors,Processor,"min 1, max 2",1,2,"Selection constraint for Intel Xeon 6th Gen Scalable Processors: min 1, max 2",P74504-B21,Standard,Intel Xeon 6507P 3.5GHz 8-core 150W Processor for HPE,0,"$2,293.00","-$1,949.00","$4,586.00",,No,02/24/2025,06/30/2029,UNCHANGED,"$2,293.00",$0.00,$0.00,2026-08-22: $2293.00 → 2026-08-24: (no price)
Processor,Intel Xeon 6th Gen Scalable Processors,HPE OCA > DL380 Gen12 > Processor > Intel Xeon 6th Gen Scalable Processors,Processor,"min 1, max 2",1,2,"Selection constraint for Intel Xeon 6th Gen Scalable Processors: min 1, max 2",P74507-B21,Standard,Intel Xeon 6517P 3.2GHz 16-core 190W Processor for HPE,0,"$3,734.00",-$508.00,"$7,468.00",,No,02/24/2025,06/30/2029,UNCHANGED,"$3,734.00",$0.00,$0.00,2026-08-22: $3734.00 → 2026-08-24: (no price)
Processor,Intel Xeon 6th Gen Scalable Processors,HPE OCA > DL380 Gen12 > Processor > Intel Xeon 6th Gen Scalable Processors,Processor,"min 1, max 2",1,2,"Selection constraint for Intel Xeon 6th Gen Scalable Processors: min 1, max 2",P74568-B21,Standard,Intel Xeon 6520P 2.4GHz 24-core 210W Processor for HPE,2,"$4,242.00",Selected,"$8,484.00",,No,02/24/2025,06/30/2029,UNCHANGED,"$4,242.00",$0.00,$0.00,2026-08-22: $4242.00 → 2026-08-24: (no price)
